"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.481271520E-1,1.684975624E-2,3.217935562E-2,-6.750717163E-1
3.528148080E-1,-4.675090313E-2,6.234073639E-2,-4.694881439E-1
3.575024640E-1,-1.201092005E-1,9.701490402E-2,-2.899246216E-1
3.621901210E-1,-9.034156799E-2,7.457828522E-2,-1.687903404E-1
3.668777770E-1,-5.382514000E-2,6.627416611E-2,-5.719184875E-3
3.715654330E-1,1.723873615E-2,1.096677780E-1,-1.369667053E-2
3.762530890E-1,7.476043701E-2,1.522221565E-1,-1.553058624E-3
3.809407460E-1,1.622062922E-1,1.888399124E-1,9.199190140E-2
3.856283500E-1,2.283052206E-1,1.958250999E-1,2.421746254E-1
3.903160060E-1,2.791243792E-1,2.252154350E-1,3.821411133E-1
3.950036620E-1,3.207186460E-1,1.865401268E-1,6.018905640E-1
3.996913190E-1,3.496052027E-1,1.227312088E-1,8.485574722E-1
4.043789750E-1,2.340823412E-1,6.215286255E-2,1.107768059E0
4.090666310E-1,2.172716856E-1,-7.588434219E-2,1.327505112E0
4.137542870E-1,8.437645435E-2,-2.147235870E-1,1.342764854E0
4.184419440E-1,-4.124808311E-2,-3.588047028E-1,1.302508354E0
4.231296000E-1,-1.510643959E-1,-4.463100433E-1,1.207317352E0
4.278172040E-1,-2.882734537E-1,-5.250921249E-1,1.161882401E0
4.325048600E-1,-4.667019844E-1,-5.192699432E-1,1.108644485E0
4.371925170E-1,-4.909913540E-1,-5.528922081E-1,1.038068771E0
4.418801730E-1,-5.519524813E-1,-5.401210785E-1,1.006966591E0
4.465677770E-1,-5.782693624E-1,-4.858283997E-1,9.010601044E-1
4.512554850E-1,-4.944854975E-1,-4.375414848E-1,7.872381210E-1
4.559431420E-1,-3.774988651E-1,-4.045472145E-1,7.317962646E-1
4.606307980E-1,-3.035837412E-1,-3.674244881E-1,6.344861984E-1
4.653184540E-1,-2.773725986E-1,-3.208651543E-1,4.101085663E-1
4.700061100E-1,-2.557941675E-1,-2.550964355E-1,2.254772186E-1
4.746937140E-1,-3.712354898E-1,-2.174415588E-1,5.628681183E-2
4.793813710E-1,-4.898712635E-1,-1.456594467E-1,-1.073131561E-1
4.840690270E-1,-6.640548110E-1,-1.203045845E-1,-2.608318329E-1
4.887566830E-1,-7.844383121E-1,-1.549563408E-1,-3.665609360E-1
4.934443390E-1,-7.329924107E-1,-2.349915504E-1,-3.300704956E-1
4.981319960E-1,-7.248221636E-1,-3.127508163E-1,-2.189245224E-1
5.028196520E-1,-6.650034189E-1,-3.080358505E-1,-1.046390533E-1
5.075073080E-1,-6.445105076E-1,-3.309459686E-1,-4.387855530E-2
5.121949640E-1,-7.252926826E-1,-2.342600822E-1,8.249187469E-2
5.168825690E-1,-6.980516911E-1,-1.470847130E-1,1.553668976E-1
5.215702250E-1,-5.916757584E-1,-6.484699249E-2,1.990432739E-1
5.262578290E-1,-4.915966392E-1,-6.379222870E-2,2.851114273E-1
5.309455370E-1,-4.970410764E-1,-2.955007553E-2,3.136730194E-1
5.356331940E-1,-3.887476921E-1,-4.794645309E-2,2.995462418E-1
5.403208500E-1,-3.617687821E-1,-9.968996048E-2,3.475055695E-1
5.450085060E-1,-3.483638465E-1,-1.228809357E-1,3.383903503E-1
5.496961100E-1,-2.436565161E-1,-1.321802139E-1,3.344440460E-1
5.543837670E-1,-8.602106571E-2,-9.945583344E-2,2.882785797E-1
5.590714230E-1,8.657664061E-2,-1.342296600E-1,2.192096710E-1
5.637590790E-1,3.508918285E-1,-1.318230629E-1,3.410854340E-1
5.684467350E-1,5.546342134E-1,-2.116551399E-1,5.292158127E-1
5.731343920E-1,5.878912807E-1,-2.068309784E-1,5.790386200E-1
5.778220480E-1,4.410683513E-1,-1.748738289E-1,6.151504517E-1
5.825097040E-1,3.090148568E-1,-1.779246330E-1,7.328176498E-1
5.871973600E-1,1.904604435E-1,-2.251791954E-1,7.747879028E-1
5.918849640E-1,8.430635929E-2,-2.023434639E-1,7.986707687E-1
5.965726210E-1,9.041309357E-3,-2.477669716E-1,7.571840286E-1
6.012602770E-1,-1.119492650E-1,-2.802000046E-1,6.365709305E-1
6.059479330E-1,-2.829165161E-1,-3.233919144E-1,4.943151474E-1
6.106355890E-1,-5.699148178E-1,-3.628616333E-1,3.589382172E-1
6.153232460E-1,-7.493276596E-1,-3.414964676E-1,2.540264130E-1
6.200109020E-1,-7.985666990E-1,-3.878326416E-1,1.744861603E-1
6.246985580E-1,-9.034976959E-1,-4.058780670E-1,7.229900360E-2
6.293861620E-1,-8.158097267E-1,-3.812184334E-1,-9.065151215E-2
6.340738190E-1,-6.307463646E-1,-3.519330025E-1,-1.526155472E-1
6.387614750E-1,-4.480456114E-1,-2.749090195E-1,-2.666196823E-1
6.434491310E-1,-3.623608947E-1,-1.975541115E-1,-4.420709610E-1
6.481367870E-1,-3.112663031E-1,-1.097245216E-1,-5.886507034E-1
6.528244440E-1,-1.713784337E-1,-2.535343170E-2,-5.262479782E-1
6.575121000E-1,-1.148576140E-1,5.617618561E-2,-5.322704315E-1
6.621997560E-1,-9.383246303E-2,1.349911690E-1,-3.829469681E-1
6.668873600E-1,-1.180118620E-1,1.635088921E-1,-2.408504486E-1
6.715750170E-1,-1.397935450E-1,2.271418571E-1,-1.056957245E-2
6.762626730E-1,-8.757953346E-2,2.680373192E-1,1.793365479E-1
6.809503290E-1,-1.137047708E-1,2.194890976E-1,3.341150284E-1
6.856379850E-1,-9.851187468E-2,2.291512489E-1,4.114151001E-1
6.903256420E-1,-8.425658941E-2,1.727995872E-1,4.736871719E-1
6.950132980E-1,6.052434444E-3,1.503925323E-1,4.070968628E-1
6.997009020E-1,5.894604325E-2,1.137528419E-1,3.220243454E-1
7.043885580E-1,1.040570736E-1,4.355096817E-2,1.997566223E-1
7.090762140E-1,1.133097708E-1,-3.644227982E-2,1.452093124E-1
7.137638710E-1,1.488891840E-1,-8.830213547E-2,8.669662476E-2
7.184515270E-1,1.297112107E-1,-1.263418198E-1,3.366279602E-2
7.231391830E-1,1.081970632E-1,-1.269946098E-1,1.942062378E-2
7.278268390E-1,1.078358591E-1,-1.761898994E-1,1.050090790E-2
7.325144440E-1,1.325882077E-1,-1.404733658E-1,-1.687717438E-2
7.372021000E-1,1.580661833E-1,-1.152844429E-1,-8.171749115E-2
7.418897560E-1,2.601240277E-1,-1.485190392E-1,-3.612518311E-2
7.465774120E-1,2.381722033E-1,-1.591596603E-1,7.653427124E-2
7.512650690E-1,2.970051765E-1,-1.710257530E-1,1.178989410E-1
7.559527250E-1,1.978695989E-1,-1.364917755E-1,1.312026978E-1
7.606403810E-1,2.076925635E-1,-1.647295952E-1,1.020889282E-1
7.653279850E-1,3.643146157E-1,-1.557502747E-1,1.926593781E-1
7.700156420E-1,3.485732079E-1,-1.528396606E-1,1.692504883E-1
7.747032980E-1,2.708960772E-1,-1.224026680E-1,1.227769852E-1
7.793909540E-1,5.474552512E-2,2.215051651E-2,-1.374950409E-1
7.840786100E-1,1.248394549E-1,-2.430725098E-2,-4.900360107E-2
7.887662670E-1,2.765583992E-2,3.411626816E-2,-3.710460663E-2
7.934539230E-1,-1.548049152E-1,2.105283737E-2,-1.966524124E-1
7.981415790E-1,-2.695448697E-1,6.564378738E-2,-2.841844559E-1
8.028291830E-1,-3.310859203E-1,1.105747223E-1,-3.858366013E-1
8.075168390E-1,-3.681766093E-1,3.220033646E-2,-5.396366119E-1
8.122044960E-1,-3.568756282E-1,-4.015731812E-2,-6.835384369E-1
8.168921520E-1,-3.638638556E-1,-1.777248383E-1,-7.749047279E-1
8.215798080E-1,-3.987600207E-1,-2.751874924E-1,-7.951498032E-1
8.262674640E-1,-7.963558435E-1,-1.161890030E-1,-1.293211937E0
8.309550690E-1,-5.882720947E-1,-1.813330650E-1,-1.467819691E0
8.356427250E-1,-2.228784859E-1,-2.372035980E-1,-1.320318222E0
8.403303810E-1,-5.144947767E-2,-2.944622040E-1,-1.275482655E0
8.450180370E-1,-1.453292370E-2,-1.732058525E-1,-1.008624077E0
8.497056940E-1,2.659925818E-2,3.532934189E-2,-8.945126534E-1
8.543933500E-1,2.859874368E-1,1.959867477E-1,-4.595155716E-1
8.590810060E-1,3.821790814E-1,2.795395851E-1,-5.681514740E-2
8.637686100E-1,3.581455052E-1,3.951029778E-1,2.336339951E-1
8.684562670E-1,2.941369116E-1,4.803795815E-1,4.747295380E-1
8.731438710E-1,2.267117202E-1,4.880752563E-1,6.290378571E-1
8.778315790E-1,1.778133214E-1,5.515708923E-1,7.591133118E-1
8.825192350E-1,1.412353218E-1,4.994034767E-1,8.510141373E-1
8.872068920E-1,1.492619812E-1,4.083151817E-1,9.953031540E-1
8.918945480E-1,2.027678490E-2,3.449797630E-1,1.096663475E0
8.965821520E-1,-9.809487313E-2,2.710533142E-1,1.174489975E0
9.012698080E-1,-2.106954008E-1,1.864738464E-1,1.224281311E0
9.059574640E-1,-3.648661375E-1,8.204460144E-2,1.174944878E0
9.106451210E-1,-4.362383485E-1,-5.125856400E-2,1.027119637E0
9.153327770E-1,-4.387890100E-1,-1.982545853E-1,7.859773636E-1
