"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.148321299E2,6.145790520E1,2.348739347E1,9.658625149E1,2.640000105E0,2.263999939E2,3.790092468E0,2.500000000E0
2.158326477E2,6.145788799E1,2.348735518E1,9.641259106E1,2.710000038E0,2.246000061E2,3.790092468E0,2.500000000E0
2.168324691E2,6.145787101E1,2.348731615E1,9.590085718E1,2.720000029E0,2.261999969E2,3.790092468E0,2.500000000E0
2.178322366E2,6.145785312E1,2.348728060E1,9.562166613E1,2.740000010E0,2.251999969E2,3.790092468E0,2.500000000E0
2.188320739E2,6.145783480E1,2.348724541E1,9.544885891E1,2.779999971E0,2.240000000E2,3.790092468E0,2.500000000E0
2.198327755E2,6.145781637E1,2.348721005E1,9.514085871E1,2.829999924E0,2.215000000E2,3.790092468E0,2.500000000E0
2.208325133E2,6.145779885E1,2.348717246E1,9.498471503E1,2.839999914E0,2.246000061E2,3.790092468E0,2.500000000E0
2.218322834E2,6.145777984E1,2.348713651E1,9.452284464E1,2.839999914E0,2.233000031E2,3.790092468E0,2.500000000E0
2.228320555E2,6.145776243E1,2.348709578E1,9.416217243E1,2.859999895E0,2.288000031E2,3.790092468E0,2.500000000E0
2.238318378E2,6.145774555E1,2.348705356E1,9.394139341E1,2.880000114E0,2.306000061E2,3.790092468E0,2.500000000E0
2.248326275E2,6.145772906E1,2.348701271E1,9.383322457E1,2.890000105E0,2.283000031E2,3.790092468E0,2.500000000E0
2.258321253E2,6.145771297E1,2.348696873E1,9.400362076E1,2.910000086E0,2.326999969E2,3.790092468E0,2.500000000E0
2.268319500E2,6.145769667E1,2.348692558E1,9.395172666E1,2.920000076E0,2.328999939E2,3.790092468E0,2.500000000E0
2.278320659E2,6.145768145E1,2.348688215E1,9.361498259E1,2.900000095E0,2.346000061E2,3.790092468E0,2.500000000E0
2.288327376E2,6.145766654E1,2.348683885E1,9.370286041E1,2.900000095E0,2.343999939E2,3.790092468E0,2.500000000E0
2.298325963E2,6.145765195E1,2.348679328E1,9.365121231E1,2.890000105E0,2.361000061E2,3.790092468E0,2.500000000E0
2.308327924E2,6.145763921E1,2.348674713E1,9.373042549E1,2.900000095E0,2.400000000E2,3.790092468E0,2.500000000E0
2.318327826E2,6.145762436E1,2.348669981E1,9.311658239E1,2.920000076E0,2.370000000E2,3.790092468E0,2.500000000E0
2.328321383E2,6.145761189E1,2.348664788E1,9.308526149E1,2.920000076E0,2.446999969E2,3.790092468E0,2.500000000E0
2.338325092E2,6.145759629E1,2.348660136E1,9.332194249E1,2.950000048E0,2.360000000E2,3.790092468E0,2.500000000E0
2.348320729E2,6.145757860E1,2.348655950E1,9.371841116E1,2.900000095E0,2.296999969E2,3.790092468E0,2.500000000E0
2.358326244E2,6.145756359E1,2.348651417E1,9.366493157E1,2.930000067E0,2.383999939E2,3.790092468E0,2.500000000E0
2.368322451E2,6.145754731E1,2.348646883E1,9.355694629E1,2.930000067E0,2.336000061E2,3.790092468E0,2.500000000E0
2.378326522E2,6.145753148E1,2.348642230E1,9.322014074E1,2.940000057E0,2.371999969E2,3.790092468E0,2.500000000E0
2.388324810E2,6.145751682E1,2.348637416E1,9.295767727E1,2.950000048E0,2.375000000E2,3.790092468E0,2.500000000E0
2.398325147E2,6.145749987E1,2.348632793E1,9.346492574E1,2.990000010E0,2.330000000E2,3.790092468E0,2.500000000E0
2.408322702E2,6.145748327E1,2.348628379E1,9.335224037E1,2.940000057E0,2.350000000E2,3.790092468E0,2.500000000E0
2.418320737E2,6.145746581E1,2.348623907E1,9.266966890E1,2.940000057E0,2.318999939E2,3.790092468E0,2.500000000E0
2.428325840E2,6.145744979E1,2.348619111E1,9.264066352E1,2.970000029E0,2.378000031E2,3.790092468E0,2.500000000E0
2.438322875E2,6.145743511E1,2.348614240E1,9.239590026E1,2.950000048E0,2.376000061E2,3.790092468E0,2.500000000E0
2.448320736E2,6.145742507E1,2.348608944E1,9.262831478E1,2.930000067E0,2.476999969E2,3.790092468E0,2.590263128E0
2.458318708E2,6.145741740E1,2.348603410E1,9.264503360E1,2.980000019E0,2.518000031E2,3.790092468E0,2.835407019E0
2.468325067E2,6.145740698E1,2.348598382E1,9.261932992E1,2.910000086E0,2.446999969E2,3.790092468E0,2.500000000E0
2.478320744E2,6.145739314E1,2.348593668E1,9.337908403E1,2.900000095E0,2.385000000E2,3.790092468E0,2.500000000E0
2.488320903E2,6.145737913E1,2.348589379E1,9.356223862E1,2.779999971E0,2.386000061E2,3.790092468E0,2.500000000E0
2.498323811E2,6.145736527E1,2.348585214E1,9.339785911E1,2.660000086E0,2.373999939E2,3.790092468E0,2.500000000E0
2.508322146E2,6.145735118E1,2.348581103E1,9.352394566E1,2.650000095E0,2.368999939E2,3.790092468E0,2.500000000E0
2.518326261E2,6.145733877E1,2.348577055E1,9.454627410E1,2.170000076E0,2.390000000E2,3.790092468E0,2.500000000E0
2.528325743E2,6.145732526E1,2.348573159E1,9.510864042E1,2.279999971E0,2.341999969E2,3.790092468E0,2.500000000E0
2.538323410E2,6.145730938E1,2.348569232E1,9.512821870E1,2.549999952E0,2.318999939E2,3.790092468E0,2.500000000E0
2.548321058E2,6.145730260E1,2.348567484E1,9.497824938E1,1.220000029E0,2.343999939E2,3.790092468E0,2.658473492E0
2.558319155E2,6.145729961E1,2.348566212E1,9.472586665E1,1.139999986E0,2.406000061E2,3.790092468E0,2.514021635E0
2.568324027E2,6.145729823E1,2.348565456E1,9.551645404E1,5.799999833E-1,2.368000031E2,3.790092468E0,2.500000000E0
2.578327684E2,6.145729619E1,2.348565300E1,9.565048525E1,2.199999988E-1,2.115000000E2,3.790092468E0,2.500000000E0
