"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
4.283227222E1,6.145937421E1,2.349099710E1,9.851052208E1,1.330000043E0,2.441999969E2,3.790092468E0,2.500000000E0
4.383276978E1,6.145936961E1,2.349097430E1,9.809413680E1,1.370000005E0,2.415000000E2,3.790092468E0,2.500000000E0
4.483254123E1,6.145936355E1,2.349095291E1,9.776966891E1,1.250000000E0,2.431999969E2,3.790092468E0,2.500000000E0
4.583260347E1,6.145935669E1,2.349092928E1,9.774012220E1,1.330000043E0,2.426999969E2,3.790092468E0,2.500000000E0
4.683186686E1,6.145935211E1,2.349090613E1,9.764728432E1,1.279999971E0,2.430000000E2,3.790092468E0,2.500000000E0
4.783206217E1,6.145934746E1,2.349088281E1,9.765289609E1,1.350000024E0,2.443999939E2,3.790092468E0,2.500000000E0
4.883262946E1,6.145934241E1,2.349086212E1,9.778918358E1,1.289999962E0,2.431999969E2,3.790092468E0,2.500000000E0
4.983189800E1,6.145933740E1,2.349083995E1,9.770806396E1,1.259999990E0,2.448999939E2,3.790092468E0,2.500000000E0
5.083196993E1,6.145933083E1,2.349081740E1,9.765923038E1,1.350000024E0,2.371999969E2,3.790092468E0,2.500000000E0
5.183199446E1,6.145932575E1,2.349079630E1,9.786552519E1,1.320000052E0,2.416000061E2,3.790092468E0,2.500000000E0
5.283251206E1,6.145932104E1,2.349077465E1,9.768485750E1,1.309999943E0,2.433000031E2,3.790092468E0,2.500000000E0
5.383190607E1,6.145931762E1,2.349075384E1,9.733610027E1,1.289999962E0,2.403000031E2,3.790092468E0,2.500000000E0
5.483187784E1,6.145931281E1,2.349073437E1,9.743460717E1,1.309999943E0,2.380000000E2,3.790092468E0,2.500000000E0
5.583186878E1,6.145930769E1,2.349071345E1,9.745755232E1,1.340000033E0,2.436999969E2,3.790092468E0,2.500000000E0
5.683261300E1,6.145930211E1,2.349069112E1,9.743197413E1,1.360000014E0,2.431000061E2,3.790092468E0,2.500000000E0
5.783229836E1,6.145929822E1,2.349066847E1,9.731911739E1,1.340000033E0,2.418000031E2,3.790092468E0,2.500000000E0
5.883190591E1,6.145929324E1,2.349064558E1,9.733040507E1,1.320000052E0,2.425000000E2,3.790092468E0,2.500000000E0
5.983249701E1,6.145928807E1,2.349062078E1,9.725715896E1,1.340000033E0,2.431000061E2,3.790092468E0,2.500000000E0
6.083205690E1,6.145928219E1,2.349059757E1,9.726954438E1,1.360000014E0,2.386000061E2,3.790092468E0,2.500000000E0
6.183215065E1,6.145927680E1,2.349057704E1,9.726563376E1,1.279999971E0,2.351000061E2,3.790092468E0,2.500000000E0
6.283254800E1,6.145927090E1,2.349055693E1,9.742511372E1,1.269999981E0,2.366000061E2,3.790092468E0,2.500000000E0
6.383269003E1,6.145926494E1,2.349053591E1,9.741589249E1,1.269999981E0,2.381000061E2,3.790092468E0,2.500000000E0
6.483257409E1,6.145925790E1,2.349051704E1,9.742919202E1,1.289999962E0,2.338999939E2,3.790092468E0,2.500000000E0
6.583220008E1,6.145925137E1,2.349049683E1,9.725438180E1,1.299999952E0,2.340000000E2,3.790092468E0,2.500000000E0
6.683219331E1,6.145924569E1,2.349047658E1,9.744492888E1,1.289999962E0,2.366999969E2,3.790092468E0,2.500000000E0
6.783261268E1,6.145923994E1,2.349045607E1,9.752262190E1,1.309999943E0,2.338000031E2,3.790092468E0,2.500000000E0
6.883234596E1,6.145923287E1,2.349043782E1,9.756436375E1,1.309999943E0,2.308999939E2,3.790092468E0,2.500000000E0
6.983261732E1,6.145922614E1,2.349041991E1,9.730965818E1,1.340000033E0,2.325000000E2,3.790092468E0,2.500000000E0
7.083207883E1,6.145921845E1,2.349040251E1,9.697346967E1,1.330000043E0,2.261999969E2,3.790092468E0,2.500000000E0
7.183202565E1,6.145921111E1,2.349038482E1,9.692896854E1,1.289999962E0,2.270000000E2,3.790092468E0,2.500000000E0
7.283225346E1,6.145920320E1,2.349036770E1,9.681769435E1,1.330000043E0,2.276999969E2,3.790092468E0,2.500000000E0
7.383207075E1,6.145919549E1,2.349035154E1,9.654083193E1,1.350000024E0,2.243000031E2,3.790092468E0,2.500000000E0
7.483225956E1,6.145918850E1,2.349033419E1,9.642131893E1,1.320000052E0,2.283999939E2,3.790092468E0,2.500000000E0
7.583236195E1,6.145918185E1,2.349031647E1,9.638414272E1,1.279999971E0,2.303999939E2,3.790092468E0,2.500000000E0
7.683216164E1,6.145917495E1,2.349029845E1,9.634550144E1,1.279999971E0,2.338000031E2,3.790092468E0,2.500000000E0
7.783227169E1,6.145916748E1,2.349028064E1,9.622641522E1,1.330000043E0,2.323000031E2,3.790092468E0,2.500000000E0
7.883231138E1,6.145915995E1,2.349026289E1,9.621255356E1,1.299999952E0,2.291000061E2,3.790092468E0,2.500000000E0
